customer_id,customer_name,age,email,country,profit,feedback_rating,sales_amount,visit_date,visit_time,favorite_dish
26,Clywd Sleicht,19,csleichtp@slideshare.net,China,32,1,5204.37,3/5/2020,0,pizza
27,Alvie Jaher,69,ajaherq@youtu.be,Croatia,67,4,5985.88,6/22/2020,11,pasta
28,Nedda Jecks,35,njecksr@angelfire.com,China,42,3,2571.58,3/28/2021,24,pizza
29,Aigneis Craigie,55,acraigies@vkontakte.ru,France,96,1,1221.08,4/2/2020,8,pizza
30,Leta Appleby,75,lapplebyt@tinyurl.com,Philippines,92,1,1648.7,9/17/2021,24,burger
31,Cecil Timcke,49,ctimckeu@cargocollective.com,Russia,81,2,8418.51,9/25/2021,10,burger
32,Zachary Dines,68,zdinesv@va.gov,Russia,12,4,430.18,7/6/2020,22,pizza
33,Paulita Spire,78,pspirew@ezinearticles.com,China,44,3,164.59,6/13/2021,11,burger
34,Ann-marie Wellstead,67,awellsteadx@unblog.fr,Mexico,59,2,9175.53,10/19/2021,10,pizza
35,Edgar Skoate,65,eskoatey@de.vu,China,64,5,7770.36,2/11/2020,3,pizza
36,Keven Kembery,63,kkemberyz@google.nl,Russia,81,1,6949.9,8/30/2021,6,burger
37,Cammi Rosle,38,crosle10@oaic.gov.au,Ukraine,45,5,2911.58,2/28/2020,17,burger
38,Bobbe Beeston,84,bbeeston11@skype.com,Russia,10,3,5508.73,4/21/2021,1,pizza
39,Stanford Fozard,77,sfozard12@dailymotion.com,Brazil,8,2,1297.71,10/19/2021,18,pasta
40,Stefano Perroni,64,sperroni13@behance.net,Portugal,95,4,7785.64,9/15/2020,19,pizza
41,Ezechiel Boustred,23,eboustred14@accuweather.com,Seychelles,51,4,398.57,5/3/2021,14,pasta
42,Theobald Cano,64,tcano15@mayoclinic.com,Uganda,71,5,2737.93,4/30/2021,10,pizza
43,Orsa Hutchins,65,ohutchins16@mozilla.org,Madagascar,1,3,7454.43,3/5/2021,14,pasta
44,Marv Winters,26,mwinters17@loc.gov,Latvia,55,1,1477.79,7/12/2020,22,pasta
45,Gay Spurriar,73,gspurriar18@guardian.co.uk,Russia,2,4,4972.61,6/16/2021,18,pizza
46,Creighton Yarwood,27,cyarwood19@theatlantic.com,Japan,42,5,6481.9,1/18/2020,3,pizza
47,Giulietta Chable,38,gchable1a@java.com,Indonesia,3,2,7201.84,1/13/2020,22,pizza
48,Reagen Wanklyn,24,rwanklyn1b@freewebs.com,Guatemala,16,4,8530.88,1/30/2020,11,pizza
49,Brandon Terbeek,44,bterbeek1c@webs.com,Vietnam,5,3,4016.74,5/20/2020,0,burger
50,Ema Deamer,46,edeamer1d@irs.gov,Indonesia,21,5,2930.38,1/2/2021,8,pasta
51,Zelda Leyland,35,zleyland1e@ifeng.com,Madagascar,29,1,3240.52,4/19/2021,20,burger
52,Raven Stiffell,83,rstiffell1f@latimes.com,Russia,28,4,7729.83,10/1/2020,6,pasta
53,Graehme Vanner,46,gvanner1g@cmu.edu,Yemen,43,2,2850.76,1/22/2020,1,burger
54,Rolfe Purveys,36,rpurveys1h@webnode.com,China,45,3,5986.87,1/13/2021,21,pizza
55,Josias Eberle,18,jeberle1i@youku.com,China,71,2,49.18,10/4/2020,4,pizza
56,Maddie Towndrow,45,mtowndrow1j@indiegogo.com,Myanmar,47,2,8541.31,8/20/2021,3,burger
57,Katha Grote,51,kgrote1k@free.fr,Egypt,40,4,2088.26,4/16/2021,3,pizza
58,Charisse Fountaine,49,cfountaine1l@omniture.com,China,91,2,6302.39,6/3/2021,19,pasta
59,Oneida Izzat,34,oizzat1m@wikispaces.com,Indonesia,91,4,7921.51,7/21/2021,12,burger
60,Donaugh Huthart,45,dhuthart1n@wikia.com,New Zealand,88,3,4562.5,7/24/2021,7,burger
61,Viviyan Gockelen,76,vgockelen1o@seesaa.net,Indonesia,27,1,7233.19,4/22/2020,4,pasta
62,Cordy Strafen,23,cstrafen1p@amazon.de,Czech Republic,27,2,3932.7,11/15/2020,17,pasta
63,Arlen Czajka,72,aczajka1q@flavors.me,Poland,20,1,584.59,1/12/2021,19,burger
64,Nanine Topp,84,ntopp1r@constantcontact.com,United States,4,2,2210.25,6/2/2021,24,pasta
65,Lucius McEvon,73,lmcevon1s@google.ru,Poland,19,2,3771.22,9/17/2021,14,pasta
66,Betti Grovier,85,bgrovier1t@google.com.au,Mexico,9,3,3198.6,1/19/2020,4,pasta
67,Hector Dormand,27,hdormand1u@usnews.com,Ireland,47,4,9560.6,10/27/2021,0,pasta
68,Marne Hindrich,30,mhindrich1v@columbia.edu,Slovenia,91,1,1732.46,1/29/2021,3,pasta
69,Benny Santon,69,bsanton1w@uol.com.br,Malaysia,20,5,1043.12,7/16/2021,16,pasta
70,Gare Farnie,49,gfarnie1x@instagram.com,Philippines,19,3,1497.31,10/4/2021,14,pizza
71,Eimile Pippard,62,epippard1y@prweb.com,Honduras,11,2,1098.25,9/15/2020,2,pasta
72,Othelia Merryman,25,omerryman1z@prnewswire.com,Czech Republic,98,1,1020.96,4/1/2021,22,burger
73,Kirk Heskin,77,kheskin20@blogger.com,China,4,1,8921.13,2/10/2020,12,pizza
74,Saunders Lancastle,25,slancastle21@clickbank.net,Mongolia,82,2,7325.57,1/4/2020,6,pasta
75,Brandise Cryer,66,bcryer22@ted.com,Mexico,28,3,5111.91,4/20/2020,2,burger
76,Mona Cowill,61,mcowill23@smugmug.com,Vietnam,87,5,4182.92,4/23/2020,22,burger
77,Deeanne Lenin,29,dlenin24@scribd.com,Poland,17,1,7964.29,6/15/2020,16,pasta
78,Jacinda Moloney,78,jmoloney25@harvard.edu,Indonesia,74,4,2409.55,8/20/2021,17,pizza
79,Colline Naptin,20,cnaptin26@ask.com,China,46,1,8066.27,2/23/2020,2,pizza
80,Maire Baildon,65,mbaildon27@usnews.com,Greece,58,1,3737.94,4/14/2020,19,pizza
81,Fiona Bremley,82,fbremley28@irs.gov,Armenia,14,2,2953.33,11/6/2021,16,pizza
82,Aubree Selliman,40,aselliman29@google.com.hk,Uganda,5,1,9911.01,7/8/2020,0,pasta
83,Lizzie Yarnton,72,lyarnton2a@indiegogo.com,Argentina,37,3,294.61,10/18/2021,12,pasta
84,Brigid Canepe,41,bcanepe2b@china.com.cn,Nigeria,99,5,1776.18,7/13/2020,23,pizza
85,Riccardo Luigi,81,rluigi2c@printfriendly.com,Poland,8,1,3491.1,6/4/2020,13,pasta
86,Valerie Dael,23,vdael2d@cnet.com,Palestinian Territory,88,1,5877.23,7/12/2021,19,pasta
87,Deb Synder,54,dsynder2e@php.net,Indonesia,60,4,7974.78,10/12/2021,2,pasta
88,Octavius Arrighi,56,oarrighi2f@linkedin.com,China,38,3,4571.91,2/4/2020,22,pasta
89,Brita Paddon,40,bpaddon2g@buzzfeed.com,Poland,41,4,630.12,2/10/2020,7,burger
90,Godart Tideswell,45,gtideswell2h@mapquest.com,Indonesia,92,4,9811.57,3/31/2021,14,burger
91,Ashbey Spaight,26,aspaight2i@ameblo.jp,Russia,53,4,8499.86,1/26/2020,8,pasta
92,Rosemary Eyeington,39,reyeington2j@jigsy.com,Indonesia,94,4,3427.68,6/27/2020,19,pizza
93,Clement Edgerly,44,cedgerly2k@netscape.com,Mauritius,35,1,6970.03,7/11/2021,17,pizza
94,Wheeler Kobpal,81,wkobpal2l@github.io,Poland,64,5,6335.38,6/26/2020,2,burger
95,Luelle Lowre,23,llowre2m@tripod.com,Brazil,7,2,4076.33,9/4/2020,1,burger
96,Venus Sharer,53,vsharer2n@constantcontact.com,Russia,18,5,6158.52,8/11/2020,8,pasta
97,Natala Desorts,30,ndesorts2o@smh.com.au,Bulgaria,12,2,2757.59,11/2/2020,0,pasta
98,Chelsae Columbell,81,ccolumbell2p@webnode.com,China,39,3,8874.62,8/4/2020,19,pasta
99,Sonny Saffin,55,ssaffin2q@ustream.tv,Palestinian Territory,35,1,891.61,2/23/2020,11,pizza
100,Bud Hartegan,18,bhartegan2r@umich.edu,Indonesia,84,2,7842.62,9/29/2020,12,pizza
101,Loy Heustice,54,lheustice2s@si.edu,China,100,5,5564.15,9/16/2020,7,pizza
102,Standford Dudden,18,sdudden2t@npr.org,Indonesia,76,2,3730.2,7/26/2021,2,pasta
103,Gwynne Penvarne,31,gpenvarne2u@sina.com.cn,United States,47,1,3737.0,4/7/2021,3,burger
104,Aaren Backen,29,abacken2v@canalblog.com,Guatemala,19,5,5248.5,1/9/2021,1,burger
105,Nonie Mathivet,64,nmathivet2w@elpais.com,Peru,54,1,3789.68,10/18/2020,17,pizza
106,Kiersten Memmory,40,kmemmory2x@networksolutions.com,China,27,3,2400.4,1/5/2020,7,burger
107,Pia Carvill,31,pcarvill2y@typepad.com,China,16,1,8289.22,3/27/2020,4,pasta
108,Leontyne Blackly,37,lblackly2z@discovery.com,Colombia,56,5,7896.06,9/20/2020,15,pizza
109,Jewelle Whistlecraft,57,jwhistlecraft30@foxnews.com,Portugal,25,1,1496.76,10/30/2021,17,pasta
110,Tisha Tampen,62,ttampen31@clickbank.net,Indonesia,36,5,7387.47,2/11/2020,22,pizza
111,Geordie Taggert,36,gtaggert32@nymag.com,China,89,5,248.3,6/18/2020,7,pizza
112,Gery Mawman,76,gmawman33@sciencedaily.com,Indonesia,47,1,3666.34,3/14/2020,18,pizza
113,Vanna Petricek,66,vpetricek34@columbia.edu,Ukraine,80,3,5494.14,5/4/2020,9,burger
114,Sayres Rowlett,31,srowlett35@ucoz.ru,Iran,56,4,9469.06,11/17/2021,14,pizza
115,Laurianne Krink,62,lkrink36@cnbc.com,Colombia,21,2,6910.28,5/6/2021,0,pasta
116,Tamiko Whitemarsh,46,twhitemarsh37@pcworld.com,United States,5,3,8240.11,10/27/2021,6,pizza
117,Fairleigh Brounsell,21,fbrounsell38@istockphoto.com,Iran,59,3,5055.08,8/23/2021,7,pizza
118,Torry Slorach,48,tslorach39@howstuffworks.com,Bolivia,3,2,8225.31,11/2/2021,21,pizza
119,Mack Vondrys,18,mvondrys3a@theguardian.com,China,45,4,1736.8,1/22/2020,5,pasta
120,Theodor Blackey,58,tblackey3b@hud.gov,Indonesia,64,5,3695.13,5/8/2021,3,burger
121,Gar De Leek,22,gde3c@sbwire.com,Philippines,14,1,2736.46,11/8/2021,21,pasta
122,Mikael Filipowicz,37,mfilipowicz3d@accuweather.com,Portugal,95,4,9419.91,9/20/2021,2,pasta
123,Leon Towne,58,ltowne3e@diigo.com,Poland,18,5,7751.69,12/27/2020,9,burger
124,Mariann Schankelborg,35,mschankelborg3f@google.de,Kazakhstan,26,3,7583.15,10/24/2021,14,pizza
125,Nikki Djuricic,47,ndjuricic3g@nationalgeographic.com,France,77,5,8146.4,3/12/2021,24,pasta
126,Maud Messager,70,mmessager3h@booking.com,China,37,4,6724.18,1/15/2021,12,burger
127,Johann Frisdick,40,jfrisdick3i@woothemes.com,Colombia,3,5,343.59,9/17/2020,22,pizza
128,Charo Mephan,46,cmephan3j@cocolog-nifty.com,Indonesia,99,5,8218.81,2/9/2020,23,pizza
129,Davis Fensome,70,dfensome3k@vk.com,Morocco,22,3,2900.56,7/17/2020,7,pizza
130,Janeta Bauchop,33,jbauchop3l@un.org,Iran,28,4,8408.63,11/23/2020,6,pizza
131,Swen Gary,40,sgary3m@hibu.com,Poland,46,3,3353.8,4/24/2020,17,pizza
132,Laurent Healks,67,lhealks3n@bloglovin.com,Japan,11,5,7973.72,12/21/2020,17,pasta
133,Enrique Dulanty,53,edulanty3o@aol.com,China,16,1,4563.0,2/24/2020,1,pizza
134,Merlina Lunney,80,mlunney3p@trellian.com,Somalia,85,4,5357.24,12/11/2021,5,burger
135,Emmalee Laffan,56,elaffan3q@163.com,Brazil,35,5,7436.69,12/15/2020,15,burger
136,Kiah Dorr,29,kdorr3r@a8.net,Mexico,1,5,2443.78,10/14/2021,21,pizza
137,Damian Dumphries,30,ddumphries3s@hc360.com,China,74,1,540.38,3/15/2020,6,pasta
138,Gearalt Dillet,66,gdillet3t@blogspot.com,Indonesia,77,1,6437.54,4/7/2021,21,burger
139,Roma Westpfel,53,rwestpfel3u@shinystat.com,Indonesia,55,3,3622.03,8/26/2020,2,pizza
140,Gates Beagles,53,gbeagles3v@github.com,China,90,3,3845.59,7/8/2020,6,pasta
141,Romeo Eathorne,51,reathorne3w@pen.io,Portugal,47,2,5051.09,3/23/2020,17,pizza
142,Cecil Readings,79,creadings3x@last.fm,Russia,83,3,9306.74,5/1/2020,1,pasta
143,Tiphany Escot,71,tescot3y@ted.com,Guatemala,47,2,6597.89,8/5/2020,0,pizza
144,Pietrek Cowherd,49,pcowherd3z@ucla.edu,France,81,4,7987.62,1/30/2020,14,burger
145,Frans Dallman,82,fdallman40@etsy.com,China,79,3,5990.57,5/4/2020,10,pizza
146,Rufe Foucher,25,rfoucher41@wikimedia.org,Brazil,8,3,5273.63,8/12/2020,8,pasta
147,Pearle Pitkins,70,ppitkins42@moonfruit.com,United States,70,1,989.23,12/11/2020,24,pasta
148,Kath Filon,29,kfilon43@theglobeandmail.com,Philippines,84,5,416.16,3/5/2020,24,burger
149,Gwenneth Lube,40,glube44@google.it,Indonesia,81,1,2816.77,1/4/2020,3,pizza
150,Anne-marie McCauley,52,amccauley45@un.org,Indonesia,19,1,1477.85,3/3/2021,0,pizza
151,Sonia Paulig,74,spaulig46@bluehost.com,Portugal,85,5,7257.28,5/14/2021,16,burger
152,Giorgia Wavell,37,gwavell47@wikimedia.org,South Africa,93,4,2574.33,8/20/2021,9,burger
153,Geraldine Giovannetti,18,ggiovannetti48@bing.com,Indonesia,79,1,7790.44,3/8/2021,9,burger
154,Althea Cornthwaite,20,acornthwaite49@odnoklassniki.ru,Peru,49,3,6054.49,3/21/2021,6,burger
155,Artemas Oxlade,20,aoxlade4a@wikispaces.com,Philippines,67,2,8908.92,11/24/2020,1,burger
156,Conchita Matzel,32,cmatzel4b@mapy.cz,Indonesia,14,4,610.35,9/12/2021,10,pizza
157,Walker Makinson,41,wmakinson4c@github.io,South Africa,60,1,1294.83,7/10/2021,12,pizza
158,Cassey Colrein,48,ccolrein4d@howstuffworks.com,Albania,14,1,8705.7,7/18/2021,16,burger
159,Mickie Pattemore,31,mpattemore4e@soup.io,Portugal,88,1,2153.23,2/8/2021,7,pasta
160,Nancey Nerval,67,nnerval4f@sakura.ne.jp,France,100,4,3782.05,9/5/2021,10,burger
161,Leonardo Lavery,84,llavery4g@bbb.org,Thailand,7,1,4320.64,2/19/2020,20,pasta
162,Tillie Havercroft,46,thavercroft4h@twitpic.com,Kazakhstan,37,4,3457.5,6/5/2021,1,pasta
163,Norrie Roper,21,nroper4i@virginia.edu,Georgia,32,3,3432.02,4/19/2021,1,burger
164,Christen Koopman,51,ckoopman4j@uol.com.br,Vietnam,95,5,8115.3,12/16/2020,24,burger
165,Alene Perschke,57,aperschke4k@msu.edu,Yemen,31,3,6933.69,12/7/2020,1,pizza
166,Raf Penright,80,rpenright4l@businessweek.com,China,43,3,7179.91,7/13/2021,1,burger
167,Creight Harlock,77,charlock4m@time.com,Thailand,81,3,2503.56,9/11/2021,6,pizza
168,Orelle Orpwood,85,oorpwood4n@thetimes.co.uk,Guatemala,95,1,3365.71,10/6/2020,17,pasta
169,Wenona Huddlestone,48,whuddlestone4o@abc.net.au,Canada,33,2,4530.64,10/22/2021,4,pizza
170,Loydie Koschke,66,lkoschke4p@altervista.org,Vietnam,70,4,2573.26,1/22/2021,15,burger
171,Saree Engledow,69,sengledow4q@istockphoto.com,Czech Republic,76,4,106.28,7/25/2021,8,pasta
172,Jeanelle Dimitriades,31,jdimitriades4r@cmu.edu,China,20,3,6478.29,1/23/2021,21,pizza
173,Florida Colling,47,fcolling4s@yale.edu,Venezuela,78,2,1298.07,2/8/2020,7,pasta
174,Worth Brisard,82,wbrisard4t@howstuffworks.com,Palestinian Territory,39,3,7742.51,7/13/2020,15,pizza
175,Karolina Reburn,32,kreburn4u@columbia.edu,Lithuania,31,5,9914.74,7/1/2020,21,pasta
176,Nahum Alennikov,28,nalennikov4v@edublogs.org,Colombia,95,1,5754.46,5/22/2020,18,pizza
177,Leigh Cuckson,68,lcuckson4w@wikispaces.com,France,39,5,6700.83,11/6/2021,7,pizza
178,Jamey Shreve,70,jshreve4x@pagesperso-orange.fr,China,97,5,9536.99,12/1/2021,12,pizza
179,Rutherford Harvard,75,rharvard4y@cbslocal.com,United Kingdom,39,5,5740.59,3/10/2020,19,pizza
180,Dylan Lathe,41,dlathe4z@dailymotion.com,Portugal,84,4,4887.75,2/10/2021,14,pasta
181,Eli Grunwall,72,egrunwall50@mit.edu,China,42,5,7993.49,11/5/2021,2,pizza
182,Kingsly Millier,32,kmillier51@whitehouse.gov,Poland,40,3,1475.35,9/15/2020,6,burger
183,Kassi Hoston,65,khoston52@ed.gov,Indonesia,13,3,2041.13,1/12/2021,8,burger
184,Darcee Serrurier,55,dserrurier53@epa.gov,Colombia,89,4,7783.23,2/21/2021,12,pizza
185,Basile Dunlap,36,bdunlap54@drupal.org,Botswana,99,3,6719.23,4/10/2021,11,burger
186,Sabine Scopyn,44,sscopyn55@accuweather.com,Myanmar,51,3,550.66,6/17/2020,12,burger
187,Vally Rickhuss,68,vrickhuss56@linkedin.com,Bosnia and Herzegovina,41,3,4708.52,9/8/2020,7,burger
188,Johnath Patterson,60,jpatterson57@dropbox.com,China,41,2,8463.35,7/11/2021,21,pasta
189,Yardley Loughlan,35,yloughlan58@psu.edu,Thailand,76,5,6493.85,1/17/2020,2,pizza
190,Marlin Castaignet,40,mcastaignet59@ftc.gov,Mexico,20,4,5580.18,9/22/2021,6,pasta
191,Michael Orneblow,71,morneblow5a@networksolutions.com,Canada,50,4,1984.89,8/27/2020,24,pizza
192,Charley Tiuit,85,ctiuit5b@pinterest.com,France,59,4,6214.68,1/2/2021,14,pasta
193,Ryun Redmayne,83,rredmayne5c@barnesandnoble.com,Philippines,17,4,6293.94,10/22/2021,7,pizza
194,Camala Learned,21,clearned5d@wunderground.com,Portugal,19,1,7948.97,6/14/2020,2,burger
195,Abraham Grover,69,agrover5e@adobe.com,Indonesia,16,5,3408.21,9/23/2020,20,pasta
196,Brocky Elce,54,belce5f@zdnet.com,Portugal,49,3,7392.29,3/5/2020,23,burger
197,Hillel Cutridge,57,hcutridge5g@ameblo.jp,Yemen,18,1,3478.52,2/20/2020,14,pasta
198,Petrina Scatcher,82,pscatcher5h@ft.com,Philippines,50,5,3066.8,3/31/2020,18,pasta
199,Aurea Foard,52,afoard5i@addtoany.com,China,94,3,5130.07,9/1/2020,9,pasta
200,Vincent Huddy,66,vhuddy5j@dion.ne.jp,Croatia,58,4,3819.46,9/30/2021,7,pasta
201,Skipton Beardsley,34,sbeardsley5k@home.pl,Indonesia,8,5,4121.29,12/15/2021,18,pasta
202,Carin Dorgon,78,cdorgon5l@youtube.com,Guinea-Bissau,85,4,9879.61,11/28/2021,20,burger
203,Elita Thing,25,ething5m@shutterfly.com,China,69,1,8973.94,9/20/2020,10,pasta
204,Jaquelyn O'Corrane,56,jocorrane5n@dmoz.org,Malaysia,39,1,3609.92,4/7/2021,16,burger
205,Jasun Trebilcock,52,jtrebilcock5o@slashdot.org,Indonesia,92,3,9584.15,2/3/2021,9,pizza
206,Yancy Cawkwell,54,ycawkwell5p@reuters.com,Brazil,96,2,59.83,12/1/2021,1,pasta
207,Huntlee Wycliffe,57,hwycliffe5q@printfriendly.com,China,63,2,1285.58,12/8/2020,7,pasta
208,Salem Llywarch,36,sllywarch5r@purevolume.com,China,60,5,7616.46,11/22/2021,23,pasta
209,Grant MacLaverty,65,gmaclaverty5s@adobe.com,China,84,3,7699.06,6/16/2021,6,burger
210,Burtie Anshell,20,banshell5t@tripadvisor.com,France,7,2,4346.38,10/24/2020,11,pasta
211,Nicholle Wickins,50,nwickins5u@odnoklassniki.ru,Indonesia,75,1,5410.52,6/13/2021,13,burger
212,Tammy McKeefry,42,tmckeefry5v@xrea.com,China,32,3,5763.57,10/24/2021,18,burger
213,Avis Partrick,30,apartrick5w@gnu.org,Nigeria,39,2,3066.11,10/6/2021,19,burger
214,Cati Cohan,65,ccohan5x@sina.com.cn,Luxembourg,6,4,4338.64,4/26/2021,16,pizza
215,Andy Oseland,28,aoseland5y@earthlink.net,Uruguay,56,2,770.62,8/26/2021,19,pizza
216,Rebecca Quadri,74,rquadri5z@imageshack.us,Indonesia,17,4,9894.05,11/28/2020,10,burger
217,Kacy Trapp,43,ktrapp60@wisc.edu,China,74,4,8013.27,7/2/2021,21,pizza
218,Alis Anscombe,20,aanscombe61@upenn.edu,Honduras,89,1,8099.0,4/2/2020,18,burger
219,Dane Shambrooke,78,dshambrooke62@goodreads.com,Ukraine,40,3,1878.65,12/19/2020,15,pizza
220,Kayle Treves,47,ktreves63@youku.com,Indonesia,69,4,3809.17,1/8/2020,18,pasta
221,Blondy O'Spillane,84,bospillane64@bbc.co.uk,Indonesia,92,4,6676.4,11/25/2020,2,burger
222,Inness Cashman,33,icashman65@photobucket.com,China,27,3,4426.51,3/10/2021,4,burger
223,Laurena Tate,44,ltate66@springer.com,Colombia,3,4,7086.66,3/4/2020,24,pasta
224,Kendre Lardnar,52,klardnar67@fc2.com,Ghana,33,5,4463.34,12/13/2020,24,burger
225,Daphna Bickmore,84,dbickmore68@delicious.com,China,35,5,5997.26,12/13/2020,0,pasta
226,Janessa Bernon,45,jbernon69@naver.com,Czech Republic,99,3,1803.49,10/6/2020,4,pizza
227,Antonia Allebone,65,aallebone6a@icq.com,Kenya,15,5,962.24,10/24/2020,20,burger
228,Tonnie Wainwright,77,twainwright6b@home.pl,Sweden,76,4,8039.02,2/18/2021,17,pasta
229,Yancy Begg,26,ybegg6c@cdc.gov,China,81,4,1518.99,2/27/2021,12,pizza
230,Lilia Kiebes,53,lkiebes6d@cyberchimps.com,Philippines,25,2,5400.54,8/1/2020,4,pizza
231,Nanette Chester,35,nchester6e@google.co.uk,Syria,12,1,6737.44,12/2/2020,1,pizza
232,Eric MacGowan,37,emacgowan6f@cdc.gov,United States,31,1,7575.57,1/12/2021,12,pasta
233,Allx Santarelli,32,asantarelli6g@amazon.co.jp,China,69,5,6502.67,2/23/2021,6,pasta
234,Elka Duerden,85,eduerden6h@odnoklassniki.ru,Myanmar,41,1,5907.22,8/20/2020,19,pasta
235,Worth Pardoe,26,wpardoe6i@google.es,Sweden,59,1,9803.67,11/11/2021,5,pizza
236,Bruis Penni,70,bpenni6j@engadget.com,Sierra Leone,58,3,9032.97,8/21/2021,12,pizza
237,Dorothea Leonarde,77,dleonarde6k@rediff.com,China,94,2,2519.2,5/17/2020,0,burger
238,Meggie Freckelton,65,mfreckelton6l@chron.com,Japan,94,4,8435.26,8/26/2021,18,pasta
239,Archibaldo Klementz,27,aklementz6m@github.com,Russia,7,4,6303.3,4/2/2020,9,pizza
240,Karel Hubbard,18,khubbard6n@hibu.com,Palestinian Territory,92,5,8387.81,10/28/2020,7,pizza
241,Dawna Tomaszynski,67,dtomaszynski6o@timesonline.co.uk,Palestinian Territory,1,2,5946.49,1/3/2021,5,burger
242,Lacie Cubbino,27,lcubbino6p@chicagotribune.com,China,90,4,4267.59,6/12/2021,1,pizza
243,Benedicto Toffano,71,btoffano6q@geocities.jp,China,35,2,3089.65,8/6/2021,23,pasta
244,Ofelia Crebo,64,ocrebo6r@usda.gov,Indonesia,50,1,6372.99,3/13/2021,4,pizza
245,Addie Matussevich,58,amatussevich6s@barnesandnoble.com,Russia,15,1,9529.56,8/17/2020,23,pizza
246,Obed Clewer,45,oclewer6t@oakley.com,Russia,73,5,1438.53,9/26/2020,3,pizza
247,Ewen Bausmann,57,ebausmann6u@wisc.edu,Sweden,18,4,7027.93,12/17/2021,14,burger
248,Trefor Hizir,56,thizir6v@yolasite.com,Russia,88,2,3172.52,11/28/2021,4,pasta
249,Chev McGillicuddy,68,cmcgillicuddy6w@nyu.edu,China,33,3,9448.5,8/13/2020,21,pizza
250,Erny Huddart,78,ehuddart6x@hibu.com,Indonesia,55,3,5983.48,6/18/2020,20,pasta
251,Taber Dilgarno,41,tdilgarno6y@i2i.jp,Czech Republic,70,5,6533.6,6/13/2021,4,pasta
252,Bessie Scarsbrick,64,bscarsbrick6z@topsy.com,China,64,4,7181.73,4/18/2020,20,pasta
253,Lev Osmant,41,losmant70@shop-pro.jp,Costa Rica,9,3,3549.44,12/28/2020,2,pasta
254,Elsa Jump,38,ejump71@ebay.co.uk,United States,54,1,1033.32,2/8/2021,16,pizza
255,Reinold Clemerson,49,rclemerson72@quantcast.com,Indonesia,4,5,3776.08,3/11/2020,17,burger
256,Faunie Bayston,80,fbayston73@gizmodo.com,China,42,5,3774.34,11/4/2020,19,pizza
257,Betsy Steeden,49,bsteeden74@nps.gov,Indonesia,47,3,7722.24,1/2/2020,13,pasta
258,Gwenette Spanswick,18,gspanswick75@java.com,Saint Vincent and the Grenadines,24,4,726.54,10/3/2021,2,pasta
259,Eleen Mold,44,emold76@phoca.cz,Philippines,2,5,9778.37,3/7/2021,23,pizza
260,Emmalyn Tessier,22,etessier77@pcworld.com,China,91,3,9343.16,10/7/2020,16,pasta
